SKU,Component,Supplier,Cost
LP0001,GPU,CoolTech,112
LP0001,RAM,GreenCell,314
LP0001,Speaker,KeyTech,436
LP0001,Touchpad,VisionDisplay,389
LP0001,Keyboard,Samsung,431
LP0001,Battery,KeyTech,304
LP0002,GPU,GreenCell,235
LP0002,Keyboard,CoolTech,88
LP0002,Battery,Kingston,422
LP0002,Touchpad,CoolTech,173
LP0002,RAM,Samsung,307
LP0002,Display,IntelWorks,223
LP0002,Speaker,VisionDisplay,373
LP0002,Motherboard,GreenCell,50
LP0003,SSD,Samsung,204
LP0003,Cooling Fan,Kingston,306
LP0003,Display,Samsung,196
LP0003,Keyboard,IntelWorks,230
LP0003,RAM,VisionDisplay,199
LP0003,Battery,KeyTech,315
LP0004,SSD,CoolTech,475
LP0004,RAM,VisionDisplay,215
LP0004,Speaker,Samsung,257
LP0004,Cooling Fan,GreenCell,464
LP0004,Touchpad,GreenCell,347
LP0004,Keyboard,Kingston,235
LP0005,Display,Samsung,383
LP0005,Touchpad,Samsung,329
LP0005,Battery,Nvidia,158
LP0005,Cooling Fan,CoolTech,419
LP0005,Speaker,Kingston,402
LP0005,GPU,CoolTech,231
LP0005,SSD,GreenCell,114
LP0005,Keyboard,IntelWorks,84
LP0006,SSD,VisionDisplay,52
LP0006,Display,CoolTech,300
LP0006,Keyboard,IntelWorks,33
LP0006,Speaker,Nvidia,288
LP0006,Cooling Fan,VisionDisplay,73
LP0006,Motherboard,Samsung,336
LP0007,Display,CoolTech,340
LP0007,GPU,GreenCell,87
LP0007,SSD,GreenCell,34
LP0007,Touchpad,IntelWorks,359
LP0007,Speaker,Kingston,460
LP0007,Battery,Kingston,462
LP0008,Cooling Fan,CoolTech,343
LP0008,Speaker,Nvidia,288
LP0008,SSD,Samsung,485
LP0008,Touchpad,Kingston,266
LP0008,Keyboard,KeyTech,432
LP0008,Display,VisionDisplay,246
LP0008,GPU,Samsung,207
LP0008,Battery,Nvidia,153
LP0009,SSD,Samsung,260
LP0009,Motherboard,IntelWorks,372
LP0009,Speaker,CoolTech,406
LP0009,Touchpad,CoolTech,173
LP0009,Display,IntelWorks,412
LP0009,Battery,Nvidia,428
LP0010,Touchpad,Nvidia,222
LP0010,Keyboard,KeyTech,103
LP0010,Motherboard,Nvidia,444
LP0010,SSD,Nvidia,132
LP0010,Battery,Samsung,60
LP0010,Display,Nvidia,340
LP0010,Speaker,KeyTech,284
LP0011,SSD,GreenCell,168
LP0011,Speaker,VisionDisplay,346
LP0011,Touchpad,CoolTech,336
LP0011,Keyboard,CoolTech,159
LP0011,Display,CoolTech,116
LP0011,Motherboard,Kingston,29
LP0011,RAM,GreenCell,45
LP0012,Battery,CoolTech,392
LP0012,Display,IntelWorks,139
LP0012,SSD,VisionDisplay,97
LP0012,Touchpad,IntelWorks,272
LP0012,Speaker,KeyTech,195
LP0013,SSD,GreenCell,48
LP0013,Cooling Fan,Samsung,417
LP0013,RAM,Nvidia,56
LP0013,Keyboard,CoolTech,112
LP0013,Speaker,KeyTech,478
LP0013,Motherboard,Samsung,438
LP0013,Battery,Nvidia,444
LP0013,Touchpad,IntelWorks,82
LP0014,GPU,CoolTech,396
LP0014,Cooling Fan,VisionDisplay,286
LP0014,Keyboard,KeyTech,262
LP0014,RAM,Nvidia,368
LP0014,Motherboard,Samsung,499
LP0014,Display,Kingston,101
LP0015,Speaker,Samsung,121
LP0015,Touchpad,Kingston,474
LP0015,Display,IntelWorks,462
LP0015,Battery,KeyTech,77
LP0015,Keyboard,KeyTech,344
LP0016,RAM,KeyTech,24
LP0016,Motherboard,IntelWorks,317
LP0016,Battery,CoolTech,372
LP0016,GPU,GreenCell,210
LP0016,Cooling Fan,VisionDisplay,147
LP0016,SSD,GreenCell,275
LP0016,Speaker,VisionDisplay,371
LP0016,Display,Kingston,496
LP0017,Motherboard,VisionDisplay,84
LP0017,RAM,CoolTech,139
LP0017,Battery,Kingston,305
LP0017,Speaker,Kingston,432
LP0017,SSD,CoolTech,395
LP0018,Motherboard,IntelWorks,268
LP0018,GPU,CoolTech,306
LP0018,RAM,Samsung,297
LP0018,Cooling Fan,CoolTech,117
LP0018,Display,GreenCell,298
LP0018,Battery,Kingston,185
LP0019,SSD,Samsung,297
LP0019,Speaker,Kingston,252
LP0019,Battery,IntelWorks,417
LP0019,Motherboard,Nvidia,395
LP0019,Touchpad,GreenCell,472
LP0019,Display,IntelWorks,337
LP0019,Keyboard,Kingston,417
LP0019,RAM,KeyTech,184
LP0020,Speaker,CoolTech,412
LP0020,GPU,GreenCell,333
LP0020,Keyboard,Samsung,185
LP0020,SSD,Nvidia,348
LP0020,RAM,Kingston,76
LP0021,Speaker,GreenCell,467
LP0021,Display,IntelWorks,123
LP0021,Motherboard,VisionDisplay,268
LP0021,GPU,KeyTech,70
LP0021,Touchpad,IntelWorks,312
LP0022,Cooling Fan,KeyTech,355
LP0022,Speaker,CoolTech,495
LP0022,SSD,VisionDisplay,259
LP0022,Motherboard,IntelWorks,204
LP0022,Battery,Nvidia,440
LP0022,Display,Kingston,426
LP0022,GPU,IntelWorks,441
LP0022,Keyboard,Samsung,290
LP0023,Display,VisionDisplay,71
LP0023,SSD,KeyTech,292
LP0023,Touchpad,Nvidia,117
LP0023,Cooling Fan,KeyTech,289
LP0023,Speaker,KeyTech,311
LP0024,Speaker,Kingston,365
LP0024,Touchpad,CoolTech,379
LP0024,GPU,Nvidia,472
LP0024,RAM,VisionDisplay,105
LP0024,Motherboard,GreenCell,301
LP0024,SSD,Nvidia,278
LP0025,Battery,Kingston,231
LP0025,Speaker,Nvidia,442
LP0025,Cooling Fan,Kingston,331
LP0025,Touchpad,KeyTech,308
LP0025,GPU,KeyTech,212
LP0025,SSD,Samsung,204
LP0025,RAM,CoolTech,249
LP0026,Motherboard,IntelWorks,173
LP0026,Touchpad,KeyTech,129
LP0026,SSD,Kingston,31
LP0026,Cooling Fan,Samsung,490
LP0026,Speaker,GreenCell,68
LP0026,GPU,IntelWorks,255
LP0026,Display,Kingston,99
LP0026,Keyboard,GreenCell,155
LP0027,Touchpad,KeyTech,395
LP0027,Keyboard,VisionDisplay,390
LP0027,Speaker,Kingston,425
LP0027,Battery,CoolTech,108
LP0027,GPU,CoolTech,442
LP0027,Motherboard,VisionDisplay,324
LP0027,Cooling Fan,Samsung,39
LP0028,Display,IntelWorks,344
LP0028,Motherboard,Nvidia,47
LP0028,RAM,Samsung,288
LP0028,Battery,IntelWorks,183
LP0028,Keyboard,GreenCell,187
LP0028,Cooling Fan,KeyTech,98
LP0028,Speaker,IntelWorks,364
LP0028,SSD,Nvidia,248
LP0029,Keyboard,GreenCell,87
LP0029,GPU,Kingston,62
LP0029,SSD,CoolTech,312
LP0029,Speaker,IntelWorks,300
LP0029,Touchpad,Nvidia,154
LP0030,GPU,GreenCell,410
LP0030,Speaker,GreenCell,266
LP0030,Touchpad,KeyTech,269
LP0030,Cooling Fan,Nvidia,353
LP0030,RAM,KeyTech,307
LP0031,Keyboard,VisionDisplay,77
LP0031,Display,Nvidia,236
LP0031,SSD,Kingston,198
LP0031,GPU,KeyTech,184
LP0031,Touchpad,Kingston,324
LP0031,Battery,IntelWorks,414
LP0032,Battery,KeyTech,122
LP0032,RAM,Kingston,99
LP0032,Cooling Fan,VisionDisplay,77
LP0032,SSD,IntelWorks,144
LP0032,Display,GreenCell,464
LP0032,Keyboard,Samsung,27
LP0032,Motherboard,Kingston,375
LP0033,SSD,KeyTech,398
LP0033,Cooling Fan,KeyTech,124
LP0033,Speaker,Samsung,300
LP0033,Motherboard,CoolTech,338
LP0033,Battery,GreenCell,375
LP0034,GPU,IntelWorks,165
LP0034,Speaker,KeyTech,424
LP0034,Motherboard,Samsung,47
LP0034,Battery,CoolTech,355
LP0034,Display,IntelWorks,54
LP0035,SSD,VisionDisplay,482
LP0035,RAM,Kingston,268
LP0035,Display,VisionDisplay,115
LP0035,Motherboard,KeyTech,276
LP0035,Battery,CoolTech,307
LP0035,Keyboard,IntelWorks,40
LP0035,Cooling Fan,KeyTech,492
LP0035,Touchpad,Samsung,190
LP0036,GPU,Samsung,140
LP0036,Battery,Samsung,435
LP0036,Motherboard,IntelWorks,340
LP0036,Speaker,Samsung,469
LP0036,RAM,Nvidia,475
LP0036,Touchpad,IntelWorks,304
LP0036,SSD,Samsung,135
LP0036,Keyboard,GreenCell,194
LP0037,Battery,KeyTech,313
LP0037,Display,GreenCell,238
LP0037,GPU,Samsung,485
LP0037,SSD,Kingston,249
LP0037,RAM,GreenCell,125
LP0037,Cooling Fan,GreenCell,317
LP0037,Speaker,KeyTech,461
LP0037,Keyboard,GreenCell,178
LP0038,GPU,VisionDisplay,114
LP0038,Battery,Kingston,449
LP0038,Speaker,GreenCell,392
LP0038,Cooling Fan,IntelWorks,411
LP0038,Motherboard,Kingston,470
LP0038,SSD,Nvidia,230
LP0039,Cooling Fan,GreenCell,33
LP0039,SSD,Samsung,330
LP0039,Battery,KeyTech,325
LP0039,GPU,KeyTech,138
LP0039,Display,IntelWorks,203
LP0039,Motherboard,VisionDisplay,372
LP0039,RAM,CoolTech,88
LP0040,RAM,KeyTech,36
LP0040,Battery,Nvidia,411
LP0040,GPU,IntelWorks,493
LP0040,Keyboard,Samsung,231
LP0040,Cooling Fan,KeyTech,400
LP0040,Display,KeyTech,407
LP0040,SSD,KeyTech,53
LP0040,Motherboard,GreenCell,494
LP0041,Touchpad,IntelWorks,331
LP0041,Cooling Fan,Nvidia,388
LP0041,RAM,Kingston,221
LP0041,GPU,IntelWorks,286
LP0041,Keyboard,VisionDisplay,251
LP0041,Display,CoolTech,443
LP0041,Speaker,IntelWorks,469
LP0041,SSD,KeyTech,285
LP0042,Motherboard,CoolTech,223
LP0042,Speaker,Samsung,416
LP0042,GPU,Samsung,256
LP0042,SSD,GreenCell,236
LP0042,RAM,Samsung,333
LP0042,Touchpad,IntelWorks,373
LP0042,Display,GreenCell,257
LP0042,Keyboard,CoolTech,66
LP0043,Battery,Kingston,250
LP0043,Speaker,IntelWorks,111
LP0043,Touchpad,CoolTech,322
LP0043,Keyboard,KeyTech,471
LP0043,GPU,CoolTech,66
LP0044,RAM,VisionDisplay,288
LP0044,Battery,Nvidia,392
LP0044,Display,GreenCell,213
LP0044,Motherboard,Nvidia,42
LP0044,GPU,GreenCell,487
