SKU,Product Name,Brand,Category,Launch Year,MSRP,Warranty Claims,Avg Repair Cost,Total Components,Warranty Score,Repair Score,MSRP Score,Circularity Score,Recommendation
LP0001,ProBook 10,ByteCore,Laptop,2020,899,51,373.3529411764706,6,0.68,0.8166074828881684,0.5291347851677457,67.57226804167742,Medium Priority
LP0002,UltraBook 11,TechNova,Laptop,2023,1299,50,388.64,8,0.6666666666666666,0.8500437445319335,0.7645673925838729,75.10500078014086,High Priority Buy-Back
LP0003,ProBook 10,TechNova,Laptop,2020,899,43,308.3255813953488,6,0.5733333333333334,0.6743779120633177,0.5291347851677457,59.03871425026524,Medium Priority
LP0004,StudentBook 10,Apex,Laptop,2024,1699,70,375.2857142857143,6,0.9333333333333333,0.8208348956380452,1.0,91.95838020247469,High Priority Buy-Back
LP0005,WorkBook 13,NeoTech,Laptop,2023,999,52,288.03846153846155,8,0.6933333333333334,0.6300053839423918,0.5879929370217775,64.27328296225842,Medium Priority
LP0006,ProBook 12,NeoTech,Laptop,2021,999,47,355.40425531914894,6,0.6266666666666667,0.7773496398056626,0.5879929370217775,66.02694397148987,Medium Priority
LP0007,UltraBook 13,ByteCore,Laptop,2019,699,58,348.9310344827586,6,0.7733333333333333,0.7631912390261562,0.4114184814596822,66.17162494790848,Medium Priority
LP0008,WorkBook 11,ByteCore,Laptop,2025,999,47,356.3191489361702,8,0.6266666666666667,0.7793507194579401,0.5879929370217775,66.08697636105819,Medium Priority
LP0009,StudentBook 14,TechNova,Laptop,2024,1299,47,362.2340425531915,6,0.6266666666666667,0.7922879320935947,0.7645673925838729,71.7723264069907,High Priority Buy-Back
LP0010,StudentBook 11,NeoTech,Laptop,2019,1699,55,350.23636363636365,7,0.7333333333333333,0.766046289668337,1.0,82.31472202338344,High Priority Buy-Back
LP0011,AirBook 15,Apex,Laptop,2024,699,48,354.8125,7,0.64,0.776055336832896,0.4114184814596822,61.22421454877735,Medium Priority
LP0012,ProBook 13,ByteCore,Laptop,2019,899,46,368.2391304347826,5,0.6133333333333333,0.8054224200235841,0.5291347851677457,64.57004948907323,Medium Priority
LP0013,ProBook 16,ByteCore,Laptop,2022,999,54,335.85185185185185,8,0.72,0.7345841029130618,0.5879929370217775,68.47731119804517,Medium Priority
LP0014,UltraBook 15,ByteCore,Laptop,2020,999,54,345.1481481481481,6,0.72,0.7549172094228961,0.5879929370217775,69.0873043933402,Medium Priority
