Claim_ID,SKU,Component Failed,Days After Purchase,Repair Cost
W000001,LP0894,Touchpad,127,199
W000002,LP0349,Cooling Fan,603,473
W000003,LP0282,Motherboard,1074,371
W000004,LP0652,Speaker,745,569
W000005,LP0544,Keyboard,361,358
W000006,LP0717,GPU,988,168
W000007,LP0415,Battery,46,550
W000008,LP0273,GPU,997,158
W000009,LP0675,Touchpad,354,401
W000010,LP0313,Keyboard,663,412
W000011,LP0083,Touchpad,812,202
W000012,LP0569,Battery,363,217
W000013,LP0891,RAM,27,138
W000014,LP0547,Battery,732,680
W000015,LP0416,Battery,624,487
W000016,LP0177,Speaker,852,223
W000017,LP0604,SSD,379,691
W000018,LP0014,Display,357,196
W000019,LP0252,SSD,188,324
W000020,LP0584,Touchpad,368,638
W000021,LP0012,Motherboard,865,433
W000022,LP0175,Cooling Fan,91,167
W000023,LP0420,GPU,10,298
W000024,LP0941,RAM,117,624
W000025,LP0370,GPU,407,219
W000026,LP0069,Cooling Fan,593,692
W000027,LP0041,Motherboard,484,659
W000028,LP0077,Motherboard,182,618
W000029,LP0225,Keyboard,769,235
W000030,LP0552,Touchpad,373,167
W000031,LP0165,SSD,959,125
W000032,LP0089,Touchpad,465,421
W000033,LP0873,Motherboard,105,459
W000034,LP0989,Motherboard,1093,177
W000035,LP0473,Cooling Fan,86,358
W000036,LP0410,SSD,829,143
W000037,LP0946,GPU,122,515
W000038,LP1000,GPU,275,430
W000039,LP0289,Keyboard,1086,392
W000040,LP0011,Motherboard,676,263
W000041,LP0475,Battery,419,307
W000042,LP0434,Display,920,465
W000043,LP0675,Battery,466,143
W000044,LP0211,Keyboard,850,147
W000045,LP0013,Touchpad,540,319
W000046,LP0730,Display,901,336
W000047,LP0141,Keyboard,213,428
W000048,LP0358,SSD,599,149
W000049,LP0938,Keyboard,951,212
W000050,LP0476,Cooling Fan,805,565
W000051,LP0371,Cooling Fan,870,62
W000052,LP0433,Keyboard,524,648
W000053,LP0300,Battery,102,314
W000054,LP0902,GPU,152,514
W000055,LP0336,RAM,214,553
W000056,LP0564,Cooling Fan,50,118
W000057,LP0856,Cooling Fan,396,206
W000058,LP0307,Battery,94,202
W000059,LP0294,Speaker,458,485
W000060,LP0316,SSD,557,109
W000061,LP0788,Cooling Fan,354,254
W000062,LP0276,RAM,887,373
W000063,LP0816,Keyboard,1036,428
W000064,LP0587,SSD,928,613
W000065,LP0780,Motherboard,348,397
W000066,LP0896,SSD,767,260
W000067,LP0388,Battery,866,602
W000068,LP0582,Motherboard,585,508
W000069,LP0178,Keyboard,1066,474
W000070,LP0752,SSD,139,698
W000071,LP0013,Motherboard,704,262
W000072,LP0513,RAM,650,523
W000073,LP0760,SSD,367,123
W000074,LP0401,SSD,490,358
W000075,LP0799,Touchpad,42,63
W000076,LP0596,Keyboard,986,576
W000077,LP0080,SSD,885,81
W000078,LP0313,Cooling Fan,850,126
W000079,LP0301,Keyboard,943,547
W000080,LP0980,Speaker,546,312
W000081,LP0218,Cooling Fan,114,435
W000082,LP0746,GPU,178,585
W000083,LP0771,Cooling Fan,729,455
W000084,LP0263,GPU,967,164
W000085,LP0696,GPU,488,443
W000086,LP0567,Display,763,334
W000087,LP0904,Display,1073,411
W000088,LP0837,Speaker,78,91
W000089,LP0153,Cooling Fan,983,200
W000090,LP0591,Display,32,559
W000091,LP0316,RAM,93,495
W000092,LP0666,Speaker,798,50
W000093,LP0298,Keyboard,754,451
W000094,LP0771,GPU,78,375
W000095,LP0922,Motherboard,476,283
W000096,LP0455,SSD,880,636
W000097,LP0522,Keyboard,442,57
W000098,LP0406,Cooling Fan,911,246
W000099,LP0023,GPU,974,153
W000100,LP0562,Battery,384,217
W000101,LP0431,GPU,983,618
W000102,LP0658,SSD,176,659
W000103,LP0017,Speaker,935,550
W000104,LP0663,Speaker,892,366
W000105,LP0224,Speaker,684,642
W000106,LP0828,Motherboard,803,512
W000107,LP0770,Keyboard,859,239
W000108,LP0312,Battery,1064,662
W000109,LP0890,Speaker,996,439
W000110,LP0025,RAM,670,52
W000111,LP0865,SSD,292,172
W000112,LP0849,Display,942,90
W000113,LP0269,Speaker,875,109
W000114,LP0559,GPU,916,60
W000115,LP0417,GPU,431,221
W000116,LP0860,Motherboard,152,441
W000117,LP0782,Battery,40,515
W000118,LP0197,Touchpad,373,551
W000119,LP0860,Touchpad,174,610
W000120,LP0836,Speaker,337,532
W000121,LP0123,Speaker,325,458
W000122,LP0720,RAM,427,268
W000123,LP0475,Display,947,36
W000124,LP0547,GPU,640,655
W000125,LP0269,Battery,839,631
